,schedule_playoff,spread_favorite,stadium_neutral,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
417,0,1.5,0,1.0,1.0,0.0,0,0,0,1
2085,0,16.5,0,0.0,1.0,0.0,1,0,0,0
90,0,3.5,0,0.0,1.0,0.0,1,0,0,0
688,0,10.0,0,1.0,1.0,0.0,0,0,0,1
984,0,3.5,0,0.0,1.0,0.0,1,0,0,0
47,0,3.0,0,6.0,0.0,1.0,0,0,0,1
1698,0,1.0,0,0.0,0.0,1.0,1,0,0,0
995,0,6.0,0,7.0,1.0,0.0,0,0,1,0
760,0,2.5,0,7.0,0.0,1.0,0,0,0,1
1141,0,4.0,0,6.0,1.0,0.0,0,0,0,1
521,0,7.0,0,1.0,1.0,0.0,0,0,0,1
1570,0,2.5,0,7.0,0.0,1.0,0,0,0,1
941,0,5.5,0,0.0,1.0,0.0,1,0,0,0
153,0,6.5,0,1.0,1.0,0.0,0,0,0,1
678,0,3.0,0,6.0,1.0,0.0,0,0,0,1
1583,0,10.0,0,0.0,1.0,0.0,0,0,0,1
1752,0,7.0,0,7.0,1.0,0.0,1,0,0,0
2008,0,5.0,0,5.0,1.0,0.0,0,0,0,1
680,0,2.5,0,5.0,1.0,0.0,0,0,0,1
1796,0,1.0,0,2.0,1.0,0.0,0,0,0,1
1671,0,7.0,0,2.0,1.0,0.0,0,0,0,1
345,0,7.0,0,1.0,1.0,0.0,0,0,0,1
1969,0,4.0,0,0.0,1.0,0.0,1,0,0,0
1754,0,3.0,0,0.0,1.0,0.0,1,0,0,0
1094,0,4.5,0,6.0,0.0,1.0,0,0,0,1
1585,0,6.0,0,4.0,1.0,0.0,0,0,0,1
2101,0,11.0,0,7.0,1.0,0.0,0,0,0,1
1833,0,4.0,0,2.0,0.0,1.0,0,0,0,1
41,0,14.5,0,11.0,1.0,0.0,0,0,0,1
1165,0,1.5,0,0.0,1.0,0.0,1,0,0,0
376,0,3.0,0,5.0,1.0,0.0,0,0,0,1
730,0,7.0,0,5.0,1.0,0.0,0,0,0,1
924,0,1.0,0,9.0,0.0,1.0,0,0,0,1
2106,0,3.0,0,7.0,1.0,0.0,0,0,0,1
