,schedule_season,schedule_week,schedule_playoff,full_result,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
2136,2018,1,0,1,1.0,0,81.0,8.0,1.0,0.0,0,1,0,0
2137,2018,1,0,0,2.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2138,2018,1,0,1,7.5,0,61.0,12.0,1.0,0.0,0,1,0,0
2139,2018,1,0,1,2.5,0,81.0,9.0,1.0,0.0,0,1,0,0
2140,2018,1,0,0,3.5,0,58.0,11.0,0.0,1.0,0,1,0,0
2141,2018,1,0,1,3.0,0,84.0,5.0,1.0,0.0,0,0,0,1
2142,2018,1,0,1,6.5,0,62.0,10.0,1.0,0.0,0,0,0,1
2143,2018,1,0,0,1.0,0,72.0,0.0,0.0,1.0,1,0,0,0
2144,2018,1,0,0,3.5,0,84.0,8.0,1.0,0.0,0,0,0,1
2145,2018,1,0,1,1.0,0,89.0,7.0,0.0,1.0,0,1,0,0
2146,2018,1,0,1,6.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2147,2018,1,0,1,6.0,0,62.0,10.0,1.0,0.0,0,0,0,1
2148,2018,1,0,0,10.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2149,2018,1,0,0,2.5,0,59.0,7.0,0.0,1.0,0,1,0,0
2150,2018,1,0,0,7.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2151,2018,1,0,0,6.5,0,69.0,10.0,0.0,1.0,0,0,0,1
2152,2018,2,0,1,1.0,0,82.0,3.0,1.0,0.0,0,0,0,1
2153,2018,2,0,1,5.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2154,2018,2,0,0,7.5,0,83.0,6.0,0.0,1.0,0,0,0,1
2155,2018,2,0,1,3.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2156,2018,2,0,1,5.5,0,92.0,4.0,1.0,0.0,0,0,0,1
2157,2018,2,0,0,2.0,0,80.0,5.0,0.0,1.0,0,0,0,1
2158,2018,2,0,1,2.0,0,97.0,15.0,0.0,1.0,0,1,0,0
2159,2018,2,0,1,13.5,0,86.0,2.0,1.0,0.0,0,0,0,1
2160,2018,2,0,1,10.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2161,2018,2,0,0,3.0,0,80.0,4.0,1.0,0.0,0,0,0,1
2162,2018,2,0,0,4.5,0,80.0,10.0,1.0,0.0,0,0,0,1
2163,2018,2,0,1,6.0,0,73.0,12.0,1.0,0.0,0,0,0,1
2164,2018,2,0,1,3.0,0,91.0,9.0,0.0,1.0,0,0,0,1
2165,2018,2,0,1,3.5,0,81.0,12.0,0.0,1.0,0,0,0,1
2166,2018,2,0,0,6.0,0,71.0,5.0,1.0,0.0,0,0,0,1
2167,2018,2,0,1,4.5,0,79.0,2.0,1.0,0.0,0,0,0,1
2168,2018,3,0,1,3.0,0,83.0,11.0,1.0,0.0,0,0,0,1
2169,2018,3,0,0,5.5,0,72.0,0.0,0.0,1.0,1,0,0,0
2170,2018,3,0,0,1.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2171,2018,3,0,1,5.5,0,61.0,5.0,1.0,0.0,0,1,0,0
2172,2018,3,0,1,2.5,0,80.0,3.0,1.0,0.0,0,0,0,1
2173,2018,3,0,1,7.0,0,72.0,0.0,0.0,1.0,1,0,0,0
2174,2018,3,0,0,6.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2175,2018,3,0,0,10.0,0,89.0,10.0,1.0,0.0,0,0,0,1
2176,2018,3,0,1,5.5,0,70.0,4.0,1.0,0.0,0,0,0,1
2177,2018,3,0,1,7.5,0,80.0,5.0,1.0,0.0,0,0,0,1
2178,2018,3,0,1,3.0,0,90.0,7.0,1.0,0.0,0,0,0,1
2179,2018,3,0,0,16.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2180,2018,3,0,1,6.5,0,61.0,5.0,1.0,0.0,0,1,0,0
2181,2018,3,0,1,1.0,0,61.0,4.0,1.0,0.0,0,0,0,1
2182,2018,3,0,1,2.5,0,62.0,6.0,0.0,1.0,0,1,0,0
2183,2018,3,0,0,1.0,0,77.0,5.0,0.0,1.0,0,0,0,1
2184,2018,4,0,1,7.5,0,75.0,3.0,1.0,0.0,0,0,0,1
2185,2018,4,0,0,3.5,0,72.0,0.0,0.0,1.0,1,0,0,0
2186,2018,4,0,0,3.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2187,2018,4,0,1,3.0,0,66.0,5.0,1.0,0.0,0,0,0,1
2188,2018,4,0,1,2.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2189,2018,4,0,1,8.5,0,49.0,9.0,1.0,0.0,0,0,0,1
2190,2018,4,0,0,1.0,0,72.0,0.0,1.0,0.0,1,0,0,0
2191,2018,4,0,1,7.5,0,86.0,10.0,1.0,0.0,0,0,0,1
2192,2018,4,0,1,10.5,0,78.0,9.0,1.0,0.0,0,0,0,1
2193,2018,4,0,1,6.5,0,65.0,6.0,1.0,0.0,0,0,0,1
2194,2018,4,0,0,3.5,0,71.0,7.0,0.0,1.0,0,0,0,1
2195,2018,4,0,1,2.5,0,71.0,8.0,1.0,0.0,0,0,0,1
2196,2018,4,0,0,3.0,0,69.0,2.0,1.0,0.0,0,0,0,1
2197,2018,4,0,1,3.0,0,80.0,4.0,0.0,1.0,0,0,0,1
2198,2018,4,0,0,3.5,0,65.0,5.0,0.0,1.0,0,0,0,1
2199,2018,5,0,1,10.5,0,66.0,6.0,1.0,0.0,0,0,0,1
2200,2018,5,0,1,6.0,0,62.0,8.0,0.0,1.0,0,0,0,1
2201,2018,5,0,1,7.0,0,80.0,3.0,1.0,0.0,0,0,0,1
2202,2018,5,0,1,6.5,0,87.0,4.0,1.0,0.0,0,0,0,1
2203,2018,5,0,1,3.0,0,72.0,5.0,0.0,1.0,0,0,0,1
2204,2018,5,0,1,1.0,0,72.0,0.0,0.0,1.0,1,0,0,0
2205,2018,5,0,1,3.5,0,72.0,0.0,1.0,0.0,1,0,0,0
2206,2018,5,0,1,3.0,0,58.0,5.0,1.0,0.0,0,1,0,0
2207,2018,5,0,1,5.0,0,75.0,10.0,1.0,0.0,0,0,0,1
2208,2018,5,0,1,1.0,0,77.0,7.0,1.0,0.0,0,0,0,1
2209,2018,5,0,0,3.5,0,79.0,6.0,1.0,0.0,0,0,0,1
2210,2018,5,0,1,3.5,0,83.0,5.0,1.0,0.0,0,0,0,1
