,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,full_result,team_away,team_favorite_id,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,weather_detail,home_favorite,away_favorite
2136,9/6/18,2018,1,0,PHI,1,ATL,PHI,1.0,0,81.0,8.0,Rain,1.0,0.0
2137,9/9/18,2018,1,0,ARI,0,WAS,ARI,2.0,0,72.0,0.0,Dome,1.0,0.0
2138,9/9/18,2018,1,0,BAL,1,BUF,BAL,7.5,0,61.0,12.0,Rain,1.0,0.0
2139,9/9/18,2018,1,0,CAR,1,DAL,CAR,2.5,0,81.0,9.0,Rain,1.0,0.0
2140,9/9/18,2018,1,0,CLE,0,PIT,PIT,3.5,0,58.0,11.0,Rain,0.0,1.0
2141,9/9/18,2018,1,0,DEN,1,SEA,DEN,3.0,0,84.0,5.0,Sunny,1.0,0.0
2142,9/9/18,2018,1,0,GB,1,CHI,GB,6.5,0,62.0,10.0,Sunny,1.0,0.0
2143,9/9/18,2018,1,0,IND,0,CIN,CIN,1.0,0,72.0,0.0,Dome,0.0,1.0
2144,9/9/18,2018,1,0,LAC,0,KC,LAC,3.5,0,84.0,8.0,Sunny,1.0,0.0
2145,9/9/18,2018,1,0,MIA,1,TEN,TEN,1.0,0,89.0,7.0,Rain,0.0,1.0
2146,9/9/18,2018,1,0,MIN,1,SF,MIN,6.0,0,72.0,0.0,Dome,1.0,0.0
2147,9/9/18,2018,1,0,NE,1,HOU,NE,6.0,0,62.0,10.0,Sunny,1.0,0.0
2148,9/9/18,2018,1,0,NO,0,TB,NO,10.0,0,72.0,0.0,Dome,1.0,0.0
2149,9/9/18,2018,1,0,NYG,0,JAX,JAX,2.5,0,59.0,7.0,Rain,0.0,1.0
2150,9/10/18,2018,1,0,DET,0,NYJ,DET,7.0,0,72.0,0.0,Dome,1.0,0.0
2151,9/10/18,2018,1,0,OAK,0,LAR,LAR,6.5,0,69.0,10.0,Sunny,0.0,1.0
2152,9/13/18,2018,2,0,CIN,1,BAL,CIN,1.0,0,82.0,3.0,Sunny,1.0,0.0
2153,9/16/18,2018,2,0,ATL,1,CAR,ATL,5.5,0,72.0,0.0,Dome,1.0,0.0
2154,9/16/18,2018,2,0,BUF,0,LAC,LAC,7.5,0,83.0,6.0,Sunny,0.0,1.0
2155,9/16/18,2018,2,0,DAL,1,NYG,DAL,3.0,0,72.0,0.0,Dome,1.0,0.0
2156,9/16/18,2018,2,0,DEN,1,OAK,DEN,5.5,0,92.0,4.0,Sunny,1.0,0.0
2157,9/16/18,2018,2,0,GB,0,MIN,MIN,2.0,0,80.0,5.0,Sunny,0.0,1.0
2158,9/16/18,2018,2,0,JAX,1,NE,NE,2.0,0,97.0,15.0,Rain,0.0,1.0
2159,9/16/18,2018,2,0,LAR,1,ARI,LAR,13.5,0,86.0,2.0,Sunny,1.0,0.0
2160,9/16/18,2018,2,0,NO,1,CLE,NO,10.0,0,72.0,0.0,Dome,1.0,0.0
2161,9/16/18,2018,2,0,NYJ,0,MIA,NYJ,3.0,0,80.0,4.0,Sunny,1.0,0.0
2162,9/16/18,2018,2,0,PIT,0,KC,PIT,4.5,0,80.0,10.0,Sunny,1.0,0.0
2163,9/16/18,2018,2,0,SF,1,DET,SF,6.0,0,73.0,12.0,Sunny,1.0,0.0
2164,9/16/18,2018,2,0,TB,1,PHI,PHI,3.0,0,91.0,9.0,Sunny,0.0,1.0
2165,9/16/18,2018,2,0,TEN,1,HOU,HOU,3.5,0,81.0,12.0,Sunny,0.0,1.0
2166,9/16/18,2018,2,0,WAS,0,IND,WAS,6.0,0,71.0,5.0,Sunny,1.0,0.0
2167,9/17/18,2018,2,0,CHI,1,SEA,CHI,4.5,0,79.0,2.0,Sunny,1.0,0.0
2168,9/20/18,2018,3,0,CLE,1,NYJ,CLE,3.0,0,83.0,11.0,Sunny,1.0,0.0
2169,9/23/18,2018,3,0,ARI,0,CHI,CHI,5.5,0,72.0,0.0,Dome,0.0,1.0
2170,9/23/18,2018,3,0,ATL,0,NO,ATL,1.5,0,72.0,0.0,Dome,1.0,0.0
2171,9/23/18,2018,3,0,BAL,1,DEN,BAL,5.5,0,61.0,5.0,Rain,1.0,0.0
2172,9/23/18,2018,3,0,CAR,1,CIN,CAR,2.5,0,80.0,3.0,Sunny,1.0,0.0
2173,9/23/18,2018,3,0,DET,1,NE,NE,7.0,0,72.0,0.0,Dome,0.0,1.0
2174,9/23/18,2018,3,0,HOU,0,NYG,HOU,6.5,0,72.0,0.0,Dome,1.0,0.0
2175,9/23/18,2018,3,0,JAX,0,TEN,JAX,10.0,0,89.0,10.0,Sunny,1.0,0.0
2176,9/23/18,2018,3,0,KC,1,SF,KC,5.5,0,70.0,4.0,Sunny,1.0,0.0
2177,9/23/18,2018,3,0,LAR,1,LAC,LAR,7.5,0,80.0,5.0,Sunny,1.0,0.0
2178,9/23/18,2018,3,0,MIA,1,OAK,MIA,3.0,0,90.0,7.0,Sunny,1.0,0.0
2179,9/23/18,2018,3,0,MIN,0,BUF,MIN,16.5,0,72.0,0.0,Dome,1.0,0.0
2180,9/23/18,2018,3,0,PHI,1,IND,PHI,6.5,0,61.0,5.0,Rain,1.0,0.0
2181,9/23/18,2018,3,0,SEA,1,DAL,SEA,1.0,0,61.0,4.0,Sunny,1.0,0.0
2182,9/23/18,2018,3,0,WAS,1,GB,GB,2.5,0,62.0,6.0,Rain,0.0,1.0
2183,9/24/18,2018,3,0,TB,0,PIT,PIT,1.0,0,77.0,5.0,Sunny,0.0,1.0
2184,9/27/18,2018,4,0,LAR,1,MIN,LAR,7.5,0,75.0,3.0,Sunny,1.0,0.0
2185,9/30/18,2018,4,0,ARI,0,SEA,SEA,3.5,0,72.0,0.0,Dome,0.0,1.0
2186,9/30/18,2018,4,0,ATL,0,CIN,ATL,3.5,0,72.0,0.0,Dome,1.0,0.0
2187,9/30/18,2018,4,0,CHI,1,TB,CHI,3.0,0,66.0,5.0,Sunny,1.0,0.0
2188,9/30/18,2018,4,0,DAL,1,DET,DAL,2.5,0,72.0,0.0,Dome,1.0,0.0
2189,9/30/18,2018,4,0,GB,1,BUF,GB,8.5,0,49.0,9.0,Sunny,1.0,0.0
2190,9/30/18,2018,4,0,IND,0,HOU,IND,1.0,0,72.0,0.0,Dome,1.0,0.0
2191,9/30/18,2018,4,0,JAX,1,NYJ,JAX,7.5,0,86.0,10.0,Sunny,1.0,0.0
2192,9/30/18,2018,4,0,LAC,1,SF,LAC,10.5,0,78.0,9.0,Sunny,1.0,0.0
2193,9/30/18,2018,4,0,NE,1,MIA,NE,6.5,0,65.0,6.0,Sunny,1.0,0.0
2194,9/30/18,2018,4,0,NYG,0,NO,NO,3.5,0,71.0,7.0,Sunny,0.0,1.0
2195,9/30/18,2018,4,0,OAK,1,CLE,OAK,2.5,0,71.0,8.0,Sunny,1.0,0.0
2196,9/30/18,2018,4,0,PIT,0,BAL,PIT,3.0,0,69.0,2.0,Sunny,1.0,0.0
2197,9/30/18,2018,4,0,TEN,1,PHI,PHI,3.0,0,80.0,4.0,Sunny,0.0,1.0
