,schedule_season,schedule_week,schedule_playoff,full_result,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,weather_detail,home_favorite,away_favorite
0,2010,1,0,1,-5.0,0,72.0,0.0,Dome,1.0,0.0
1,2010,1,0,0,-3.0,0,64.0,7.0,Sunny,0.0,1.0
2,2010,1,0,1,-6.5,0,75.0,1.0,Sunny,1.0,0.0
3,2010,1,0,1,-1.0,0,89.0,5.0,Sunny,0.0,1.0
4,2010,1,0,1,-3.0,0,91.0,1.0,Sunny,1.0,0.0
5,2010,1,0,1,-5.5,0,63.0,10.0,Sunny,1.0,0.0
6,2010,1,0,1,-6.0,0,65.0,1.0,Rain,1.0,0.0
7,2010,1,0,0,-3.0,0,69.0,4.0,Sunny,0.0,1.0
8,2010,1,0,1,-1.5,0,65.0,9.0,Sunny,0.0,1.0
9,2010,1,0,1,-3.0,0,64.0,11.0,Sunny,0.0,1.0
10,2010,1,0,0,-3.0,0,72.0,0.0,Dome,0.0,1.0
11,2010,1,0,1,-2.5,0,87.0,6.0,Sunny,1.0,0.0
12,2010,1,0,1,-6.5,0,77.0,9.0,Sunny,1.0,0.0
13,2010,1,0,1,-3.0,0,66.0,2.0,Sunny,0.0,1.0
14,2010,1,0,1,-4.0,0,81.0,1.0,Sunny,0.0,1.0
15,2010,1,0,0,-1.0,0,73.0,1.0,Rain,1.0,0.0
16,2010,2,0,1,-7.0,0,72.0,0.0,Dome,1.0,0.0
17,2010,2,0,0,-4.0,0,89.0,4.0,Sunny,1.0,0.0
18,2010,2,0,1,-3.0,0,78.0,1.0,Sunny,0.0,1.0
19,2010,2,0,0,-3.0,0,65.0,1.0,Sunny,1.0,0.0
20,2010,2,0,0,-7.0,0,72.0,0.0,Dome,1.0,0.0
21,2010,2,0,1,-3.5,0,91.0,9.0,Sunny,1.0,0.0
22,2010,2,0,0,-6.5,0,72.0,0.0,Dome,0.0,1.0
23,2010,2,0,1,-13.0,0,58.0,4.0,Sunny,1.0,0.0
24,2010,2,0,1,-4.0,0,72.0,0.0,Dome,1.0,0.0
25,2010,2,0,0,-6.0,0,72.0,0.0,Dome,1.0,0.0
26,2010,2,0,1,-3.0,0,82.0,6.0,Sunny,0.0,1.0
27,2010,2,0,1,-3.0,0,72.0,6.0,Sunny,1.0,0.0
28,2010,2,0,1,-7.0,0,76.0,8.0,Sunny,1.0,0.0
29,2010,2,0,0,-6.0,0,87.0,3.0,Sunny,1.0,0.0
30,2010,2,0,0,-3.0,0,85.0,6.0,Sunny,0.0,1.0
31,2010,2,0,0,-5.0,0,72.0,1.0,Sunny,0.0,1.0
32,2010,3,0,1,-5.5,0,72.0,0.0,Dome,1.0,0.0
33,2010,3,0,1,-12.5,0,77.0,6.0,Rain,1.0,0.0
34,2010,3,0,0,-3.5,0,67.0,8.0,Rain,0.0,1.0
35,2010,3,0,0,-6.0,0,85.0,6.0,Sunny,0.0,1.0
36,2010,3,0,0,-2.5,0,82.0,8.0,Sunny,1.0,0.0
37,2010,3,0,0,-3.0,0,90.0,5.0,Sunny,0.0,1.0
38,2010,3,0,1,-3.0,0,57.0,1.0,Sunny,0.0,1.0
39,2010,3,0,0,-2.5,0,84.0,9.0,Sunny,1.0,0.0
40,2010,3,0,1,-13.0,0,72.0,0.0,Dome,1.0,0.0
41,2010,3,0,1,-14.5,0,68.0,11.0,Sunny,1.0,0.0
42,2010,3,0,0,-3.0,0,72.0,0.0,Dome,1.0,0.0
43,2010,3,0,0,-3.0,0,70.0,3.0,Sunny,1.0,0.0
